Type, symbol, instrument_token, open price, high price, low price, close price, live price, Time
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43357.6, 2022-12-19 11:14:54
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43357.6, 2022-12-19 11:14:54
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43357.6, 2022-12-19 11:14:54
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43357.6, 2022-12-19 11:14:54
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43360.65, 2022-12-19 11:14:55
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43360.65, 2022-12-19 11:14:55
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43360.65, 2022-12-19 11:14:55
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43360.65, 2022-12-19 11:14:55
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43360.65, 2022-12-19 11:14:55
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43360.65, 2022-12-19 11:14:55
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43360.65, 2022-12-19 11:14:55
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43361.1, 2022-12-19 11:14:56
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43361.1, 2022-12-19 11:14:56
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43361.1, 2022-12-19 11:14:56
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43361.1, 2022-12-19 11:14:56
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43361.1, 2022-12-19 11:14:56
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43361.1, 2022-12-19 11:14:56
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43359.95, 2022-12-19 11:14:57
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43359.95, 2022-12-19 11:14:57
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43359.95, 2022-12-19 11:14:57
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43359.95, 2022-12-19 11:14:57
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43359.95, 2022-12-19 11:14:57
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43359.95, 2022-12-19 11:14:57
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43358.3, 2022-12-19 11:14:58
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43358.3, 2022-12-19 11:14:58
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43358.3, 2022-12-19 11:14:58
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43358.3, 2022-12-19 11:14:58
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43358.3, 2022-12-19 11:14:58
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43358.3, 2022-12-19 11:14:58
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43358.3, 2022-12-19 11:14:58
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43358.15, 2022-12-19 11:14:59
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43358.15, 2022-12-19 11:14:59
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43358.15, 2022-12-19 11:14:59
LIVE, NIFTY BANK, 260105, 43346.35, 43417.35, 43110.3, 43219.5, 43358.15, 2022-12-19 11:14:59
